Unnamed: 0,Label,Temperature [°C],NaOH Concentration [mM],Mg++ Concentration [mM],Seed Volume Fraction [m^3 mineral/m^3 medium],Carbonation_Percentage,Reaction_Rate,Log Seed Volume Fraction
715,Run_716,20.0,800.0,660.0,1e-07,100.0,34931.87182605699,-7.0
716,Run_717,20.0,800.0,660.0,1e-06,100.0,35560.39402898562,-6.0
717,Run_718,20.0,800.0,660.0,1e-05,100.0,36008.103877061294,-5.0
718,Run_719,20.0,800.0,660.0,0.0001,100.0,36390.44187769071,-4.0
719,Run_720,20.0,800.0,660.0,0.0032,100.0,36910.79937722753,-2.494850021680094
787,Run_788,20.0,900.0,550.0,1e-07,100.0,29021.31480301727,-7.0
788,Run_789,20.0,900.0,550.0,1e-06,100.0,29297.026146785785,-6.0
789,Run_790,20.0,900.0,550.0,1e-05,100.0,29556.90876885177,-5.0
790,Run_791,20.0,900.0,550.0,0.0001,100.0,30086.46354951587,-4.0
791,Run_792,20.0,900.0,550.0,0.0032,100.0,30657.39861702213,-2.494850021680094
792,Run_793,20.0,900.0,660.0,1e-10,100.0,34052.79842552633,-10.0
793,Run_794,20.0,900.0,660.0,1e-09,100.0,34287.47128024333,-9.0
794,Run_795,20.0,900.0,660.0,1e-08,100.0,34598.886166788914,-8.0
795,Run_796,20.0,900.0,660.0,1e-07,100.0,35223.05456192169,-7.0
796,Run_797,20.0,900.0,660.0,1e-06,100.0,35554.58147809066,-6.0
797,Run_798,20.0,900.0,660.0,1e-05,100.0,35920.07384073119,-5.0
798,Run_799,20.0,900.0,660.0,0.0001,100.0,36238.90208369691,-4.0
799,Run_800,20.0,900.0,660.0,0.0032,100.0,36842.4706263763,-2.494850021680094
866,Run_867,20.0,1000.0,550.0,1e-08,100.0,28766.038799120342,-8.0
867,Run_868,20.0,1000.0,550.0,1e-07,100.0,29021.329896263607,-7.0
868,Run_869,20.0,1000.0,550.0,1e-06,100.0,29285.73485908784,-6.0
869,Run_870,20.0,1000.0,550.0,1e-05,100.0,29814.846542745752,-5.0
870,Run_871,20.0,1000.0,550.0,0.0001,100.0,30086.48115437838,-4.0
871,Run_872,20.0,1000.0,550.0,0.0032,100.0,30645.095833245843,-2.494850021680094
872,Run_873,20.0,1000.0,660.0,1e-10,100.0,33954.66525473159,-10.0
873,Run_874,20.0,1000.0,660.0,1e-09,100.0,34270.74885292159,-9.0
874,Run_875,20.0,1000.0,660.0,1e-08,100.0,34890.6298134566,-8.0
875,Run_876,20.0,1000.0,660.0,1e-07,100.0,35194.82905924093,-7.0
876,Run_877,20.0,1000.0,660.0,1e-06,100.0,35512.41351626202,-6.0
877,Run_878,20.0,1000.0,660.0,1e-05,100.0,35813.75975811987,-5.0
878,Run_879,20.0,1000.0,660.0,0.0001,100.0,36181.52268159429,-4.0
879,Run_880,20.0,1000.0,660.0,0.0032,100.0,36827.24351398624,-2.494850021680094
