Time (hrs),Mg++,Magnesite
1e-10,0.0320000015199184,0.0
2e-10,0.0320000015199184,0.0
3e-10,0.0320000015199184,0.0
4e-10,0.0320000015199184,0.0
5e-10,0.0320000015199184,0.0
7e-10,0.0320000015199184,0.0
1.1e-09,0.0320000015199184,0.0
1.9e-09,0.0320000015199184,0.0
3.5e-09,0.0320000015199184,0.0
6.7e-09,0.0320000015199184,0.0
1.31e-08,0.0320000015199184,0.0
2.59e-08,0.0320000015199184,0.0
5.15e-08,0.0320000015199184,0.0
1.027e-07,0.0320000015199185,-9.71445146547012e-17
2.051e-07,0.0320000015199185,-9.71445146547012e-17
4.099e-07,0.0320000015199186,-2.0122792321330962e-16
8.195e-07,0.0320000015199187,-2.983724378680108e-16
1.6387e-06,0.032000001519919,-5.967448757360216e-16
3.2771e-06,0.0320000015199195,-1.1032841307212493e-15
6.5539e-06,0.0320000015199206,-2.1996293675385914e-15
1.31075e-05,0.0320000015199227,-4.3021142204224816e-15
2.62147e-05,0.032000001519927,-8.597289546941056e-15
5.24291e-05,0.0320000015199356,-1.720151798778602e-14
0.000104858,0.0320000015199528,-3.440303597557204e-14
0.000209716,0.0320000015199871,-6.870198854258547e-14
0.000419431,0.0320000015200558,-1.3739703819126703e-13
0.000838861,0.0320000015201932,-2.7480101527643797e-13
0.00167772,0.0320000015204679,-5.494979471443173e-13
0.00267772,0.0320000015210173,-1.09889874977398e-12
0.00367772,0.0320000015216722,-1.753798495318648e-12
0.00467772,0.0320000015223269,-2.408497012940103e-12
0.00567772,0.0320000015229815,-3.063098386046903e-12
0.00667772,0.032000001523636,-3.717602614639048e-12
0.00767772,0.0320000015242904,-4.372002759822635e-12
0.00867772,0.0320000015249446,-5.026201677083009e-12
0.00967772,0.0320000015255988,-5.680400594343382e-12
0.0106777,0.0320000015262528,-6.334398283680542e-12
0.0116777,0.0320000015269067,-6.988298828503048e-12
0.0126777,0.0320000015275605,-7.642102228810899e-12
0.0136777,0.0320000015282141,-8.295697462301632e-12
0.0146777,0.0320000015288677,-8.94929963468627e-12
0.0156777,0.0320000015295211,-9.602700579147694e-12
0.0166777,0.0320000015301743,-1.0255900295685905e-11
0.0176777,0.0320000015308275,-1.0909100012224116e-11
0.0186777,0.0320000015314806,-1.1562202584247672e-11
0.0196777,0.0320000015321335,-1.221509698945411e-11
0.0206777,0.0320000015327863,-1.2867901189039799e-11
0.0216777,0.032000001533439,-1.3520601305216928e-11
0.0226777,0.0320000015340916,-1.4173197337985499e-11
0.0236777,0.0320000015347441,-1.482570316513332e-11
0.0246777,0.0320000015353964,-1.5478000825464022e-11
0.0256777,0.0320000015360487,-1.6130298485794725e-11
0.0266777,0.0320000015367007,-1.678229777368756e-11
0.0276777,0.0320000015373527,-1.7434297061580395e-11
0.0286777,0.0320000015380046,-1.8086199204958575e-11
0.0296777,0.0320000015386563,-1.8737900120413542e-11
0.0306777,0.032000001539308,-1.938960103586851e-11
0.0316777,0.0320000015399595,-2.0041100723400262e-11
0.0326777,0.0320000015406109,-2.069250326641736e-11
0.0336777,0.0320000015412621,-2.1343697642617343e-11
0.0346777,0.0320000015419133,-2.199489895771123e-11
0.0356777,0.0320000015425643,-2.26458990448819e-11
0.0366777,0.0320000015432152,-2.329680198753792e-11
0.0376777,0.032000001543866,-2.3947600846785377e-11
0.0386777,0.0320000015445167,-2.4598302561518182e-11
0.0396777,0.0320000015451672,-2.5248803048327773e-11
0.0406777,0.0320000015458177,-2.589929659624346e-11
0.0416777,0.032000001546468,-2.654960279402374e-11
0.0426777,0.0320000015471182,-2.719979796950156e-11
0.0436777,0.0320000015477682,-2.784979885595007e-11
0.0446777,0.0320000015484182,-2.849979974239858e-11
0.0456777,0.032000001549068,-2.9149599400923876e-11
0.0466777,0.0320000015497178,-2.979939905944917e-11
0.0476777,0.0320000015503674,-3.0448997490051255e-11
0.0486777,0.0320000015510168,-3.109840163162403e-11
0.0496777,0.0320000015516662,-3.17477988343029e-11
0.0506777,0.0320000015523155,-3.2397098892467113e-11
0.0516777,0.0320000015529646,-3.3046197722708115e-11
0.0526777,0.0320000015536136,-3.369519940843446e-11
0.0536777,0.0320000015542625,-3.434409701075225e-11
0.0546777,0.0320000015549112,-3.499280032404073e-11
0.0556777,0.0320000015555599,-3.5641496698435304e-11
0.0566777,0.0320000015562084,-3.628999878380057e-11
0.0576777,0.0320000015568568,-3.693839678575728e-11
0.0586777,0.0320000015575051,-3.758669764319933e-11
0.0596777,0.0320000015581533,-3.823490135612673e-11
0.0606777,0.0320000015588014,-3.8883000985645566e-11
0.0616777,0.0320000015594493,-3.953089938724119e-11
0.0626777,0.0320000015600971,-4.017870064432216e-11
0.0636777,0.0320000015607448,-4.0826397817994575e-11
0.0646777,0.0320000015613924,-4.147399784715233e-11
