Time(hrs),SiO2(aq),Mg++,Gluconic acid(aq),CO2(aq),Na+,pH
1e-10,0.0105000004990519,0.0320000015205757,0.0970000046078603,7.43156689411464e-06,1.00000005066852e-33,2.14999282890859
2e-10,0.0105000004993804,0.0320000015212329,0.0970000046072528,7.43156689411788e-06,1.00000005066852e-33,2.14999283183437
3e-10,0.010500000499709,0.0320000015218901,0.0970000046072528,7.43156689412121e-06,1.00000005066852e-33,2.14999283189772
4e-10,0.010500000499709,0.0320000015218901,0.0970000046072268,7.4315668941212e-06,1.00000005066852e-33,2.14999283194478
5e-10,0.0105000005000377,0.0320000015225473,0.0970000046072617,7.43156689412454e-06,1.00000005066852e-33,2.14999283199174
7e-10,0.0105000005003663,0.0320000015232045,0.0970000046072619,7.43156689412787e-06,1.00000005066852e-33,2.1499928320857
1.1e-09,0.0105000005010235,0.0320000015245189,0.0970000046072709,7.43156689413453e-06,1.00000005066852e-33,2.14999283227361
1.9e-09,0.0105000005049667,0.0320000015324054,0.0970000046072527,7.43156689417451e-06,1.00000005066852e-33,2.14999283264943
3.5e-09,0.0105000005102243,0.0320000015429207,0.0970000046072527,7.43156689422781e-06,1.00000005066852e-33,2.14999283340107
6.7e-09,0.0105000005207396,0.0320000015639514,0.0970000046072528,7.43156689433441e-06,1.00000005066852e-33,2.14999283490435
1.31e-08,0.0105000005417702,0.0320000016060127,0.0970000046072527,7.4315668945476e-06,1.00000005066852e-33,2.14999283791091
2.59e-08,0.0105000005838313,0.0320000016901353,0.0970000046072528,7.431566894974e-06,1.00000005066852e-33,2.14999284392403
5.15e-08,0.0105000006679535,0.0320000018583806,0.0970000046072528,7.43156689582678e-06,1.00000005066852e-33,2.14999285595026
1.027e-07,0.0105000008361979,0.0320000021948712,0.0970000046072528,7.43156689753234e-06,1.00000005066852e-33,2.14999288000273
2.051e-07,0.0105000011726868,0.0320000028678523,0.0970000046072528,7.43156690094348e-06,1.00000005066852e-33,2.14999292810767
4.099e-07,0.0105000018456644,0.0320000042138144,0.0970000046072528,7.43156690776572e-06,1.00000005066853e-33,2.14999302431754
8.195e-07,0.0105000031916196,0.0320000069057383,0.0970000046072531,7.43156692141019e-06,1.00000005066853e-33,2.14999321673728
1.6387e-06,0.0105000058835293,0.0320000122895848,0.0970000046072542,7.43156694869905e-06,1.00000005066853e-33,2.14999360157668
3.2771e-06,0.0105000112673462,0.0320000230572725,0.0970000046072585,7.43156700327636e-06,1.00000005066853e-33,2.14999437125523
6.5539e-06,0.01050002203497,0.0320000445926266,0.097000004607276,7.43156711242933e-06,1.00000005066853e-33,2.14999591061131
1.31075e-05,0.010500043570178,0.0320000876632494,0.0970000046073456,7.43156733072872e-06,1.00000005066853e-33,2.14999898931938
2.62147e-05,0.0105000866404349,0.0320001738041542,0.097000004607624,7.4315677673012e-06,1.00000005066853e-33,2.1500051467192
5.24291e-05,0.0105001727803123,0.0320003460845999,0.0970000046087378,7.43156864034112e-06,1.00000005066853e-33,2.1500174614535
0.000104858,0.0105003450515466,0.0320006906290571,0.0970000046072527,7.43157038599907e-06,1.00000005066852e-33,2.15004209066074
0.000209716,0.0105006895778605,0.0320013796851745,0.0970000046072528,7.43157387563292e-06,1.00000005066852e-33,2.15009134802963
0.000419431,0.0105013785539266,0.0320027576442793,0.0970000046072528,7.43158084817233e-06,1.00000005066852e-33,2.15018985858367
0.000838861,0.0105027561998784,0.0320055129501012,0.0970000046072528,7.43159476636382e-06,1.00000005066853e-33,2.15038686294598
0.00167772,0.0105055102675887,0.0320110211132507,0.0970000046072529,7.43162249540496e-06,1.00000005066853e-33,2.15078080460135
0.00267772,0.0105087915826081,0.0320175837760903,0.097000004607253,7.43165529606247e-06,1.00000005066853e-33,2.15125026559633
0.00367772,0.0105120710850642,0.0320241428135017,0.097000004607253,7.43168779515722e-06,1.00000005066852e-33,2.15171962578267
0.00467772,0.0105153487760604,0.0320306982276944,0.097000004607253,7.43171999546177e-06,1.00000005066852e-33,2.15218892505331
0.00567772,0.010518624656893,0.0320372500212641,0.097000004607253,7.4317518997231e-06,1.00000005066851e-33,2.15265816324232
0.00667772,0.0105218987288586,0.0320437981968063,0.097000004607253,7.431783510663e-06,1.00000005066851e-33,2.15312733995143
0.00767772,0.0105251709932539,0.0320503427569174,0.0970000046072531,7.43181483097823e-06,1.00000005066851e-33,2.15359645478112
0.00867772,0.0105284414513761,0.0320568837041943,0.097000004607253,7.43184586334073e-06,1.00000005066852e-33,2.15406550733188
0.00967772,0.0105317101045227,0.0320634210412346,0.097000004607253,7.43187661039789e-06,1.00000005066853e-33,2.15453449720431
0.0106777,0.0105349769539914,0.0320699547706365,0.0970000046072531,7.43190707477276e-06,1.00000005066853e-33,2.15500342399907
0.0116777,0.0105382420010802,0.0320764848949985,0.097000004607253,7.43193725906427e-06,1.00000005066854e-33,2.1554722873169
0.0126777,0.0105415052470876,0.0320830114169201,0.097000004607253,7.43196716584746e-06,1.00000005066854e-33,2.1559410867586
0.0136777,0.0105447666933121,0.0320895343390012,0.097000004607253,7.43199679767369e-06,1.00000005066855e-33,2.15640982192509
0.0146777,0.0105480263410528,0.0320960536638421,0.0970000046072531,7.43202615707087e-06,1.00000005066855e-33,2.15687849241736
0.0156777,0.010551284191609,0.032102569394044,0.097000004607253,7.43205524654367e-06,1.00000005066855e-33,2.15734709783647
0.0166777,0.0105545402462802,0.0321090815322085,0.097000004607253,7.43208406857371e-06,1.00000005066855e-33,2.15781563778362
0.0176777,0.0105577945063662,0.0321155900809377,0.0970000046072531,7.43211262561983e-06,1.00000005066855e-33,2.15828411186007
0.0186777,0.0105610469731672,0.0321220950428344,0.097000004607253,7.43214092011824e-06,1.00000005066855e-33,2.1587525196672
0.0196777,0.0105642976479837,0.0321285964205019,0.0970000046072531,7.43216895448276e-06,1.00000005066855e-33,2.15922086080648
0.0206777,0.0105675465321164,0.0321350942165441,0.0970000046072531,7.43219673110502e-06,1.00000005066855e-33,2.15968913487951
0.0216777,0.0105707936268663,0.0321415884335652,0.0970000046072531,7.43222425235464e-06,1.00000005066855e-33,2.16015734148799
0.0226777,0.0105740389335347,0.0321480790741703,0.0970000046072531,7.4322515205795e-06,1.00000005066855e-33,2.16062548023373
0.0236777,0.0105772824534231,0.0321545661409648,0.0970000046072531,7.43227853810583e-06,1.00000005066855e-33,2.16109355071866
0.0246777,0.0105805241878335,0.0321610496365547,0.0970000046072532,7.43230530723853e-06,1.00000005066855e-33,2.16156155254485
0.0256777,0.0105837641380679,0.0321675295635466,0.0970000046072531,7.43233183026128e-06,1.00000005066854e-33,2.16202948531446
