Label,Temperature [°C],NaOH Concentration [mM],Mg++ Concentration [mM],Seed Volume Fraction [m^3 mineral/m^3 medium],Carbonation_Percentage,Reaction_Rate
Run_81,20.0,50.0,32.0,1e-10,19.54160315941708,5.926910856114282
Run_82,20.0,50.0,32.0,1e-09,19.544040258992947,5.927650021259454
Run_83,20.0,50.0,32.0,1e-08,19.54623261448127,5.9283149562410244
Run_84,20.0,50.0,32.0,1e-07,19.548239975612343,5.928923782977726
Run_85,20.0,50.0,32.0,1e-06,19.550394413002607,5.929577217512206
Run_86,20.0,50.0,32.0,1e-05,19.554951478970477,5.93095936223843
Run_87,20.0,50.0,32.0,0.0001,19.562860275000947,5.933358076851429
Run_88,20.0,50.0,32.0,0.0032,19.318719429937065,258.61341527989225
Run_89,20.0,50.0,80.0,1e-10,64.45806419021503,226.25873453423566
Run_90,20.0,50.0,80.0,1e-09,64.44209262769527,232.5562826676715
Run_91,20.0,50.0,80.0,1e-08,64.45351401844682,231.15467674313444
Run_92,20.0,50.0,80.0,1e-07,64.45372084443626,232.96177179484275
Run_93,20.0,50.0,80.0,1e-06,64.4424695106094,238.3219365138693
Run_94,20.0,50.0,80.0,1e-05,64.46548694517027,234.65462716307917
Run_95,20.0,50.0,80.0,0.0001,64.56406021174911,215.0436894185251
Run_96,20.0,50.0,80.0,0.0032,64.39229812169842,632.6428184714007
Run_97,20.0,50.0,160.0,1e-10,82.1658504592104,827.5242170199135
Run_98,20.0,50.0,160.0,1e-09,82.17008119972824,823.9257613386662
Run_99,20.0,50.0,160.0,1e-08,82.17167835598022,824.8430113608689
Run_100,20.0,50.0,160.0,1e-07,82.17174040377705,828.5035963731812
Run_101,20.0,50.0,160.0,1e-06,82.17185990323763,832.1563961519837
Run_102,20.0,50.0,160.0,1e-05,82.1667765800299,845.9943869783666
Run_103,20.0,50.0,160.0,0.0001,82.18720409358937,817.3605231056316
Run_104,20.0,50.0,160.0,0.0032,81.9256473511793,1544.134557418055
Run_105,20.0,50.0,250.0,1e-10,88.98964075008989,1772.3205589178133
Run_106,20.0,50.0,250.0,1e-09,88.98904803276541,1781.7632478047474
Run_107,20.0,50.0,250.0,1e-08,88.98753608882109,1796.9620579285288
Run_108,20.0,50.0,250.0,1e-07,88.98965104542803,1792.4396391361818
Run_109,20.0,50.0,250.0,1e-06,88.98742284010152,1811.07076870394
Run_110,20.0,50.0,250.0,1e-05,88.98852149975758,1809.6992900881792
Run_111,20.0,50.0,250.0,0.0001,88.98760815618807,1803.1581235917708
Run_112,20.0,50.0,250.0,0.0032,88.74173047838737,2432.8667414635356
Run_113,20.0,50.0,300.0,1e-10,91.11885591009722,2016.1404774093642
Run_114,20.0,50.0,300.0,1e-09,91.1191451600736,2019.3205286086893
Run_115,20.0,50.0,300.0,1e-08,91.12012566846808,2013.663993134703
Run_116,20.0,50.0,300.0,1e-07,91.12009012503876,2019.8034133316296
Run_117,20.0,50.0,300.0,1e-06,91.11909613465386,2037.372182841712
Run_118,20.0,50.0,300.0,1e-05,91.1195876144866,2030.1808124650388
Run_119,20.0,50.0,300.0,0.0001,91.11395581939573,2028.291439010001
Run_120,20.0,50.0,300.0,0.0032,90.83086588700692,2882.760958737374
Run_121,20.0,50.0,350.0,1e-10,92.6565378495886,2027.4404693895824
Run_122,20.0,50.0,350.0,1e-09,92.65740770060714,2002.8331909329643
Run_123,20.0,50.0,350.0,1e-08,92.65734571846932,2009.184576429999
Run_124,20.0,50.0,350.0,1e-07,92.65660508444992,2039.236893539605
Run_125,20.0,50.0,350.0,1e-06,92.65732260648576,2016.4985046472095
Run_126,20.0,50.0,350.0,1e-05,92.65666076331946,2016.6402585220712
Run_127,20.0,50.0,350.0,0.0001,92.65061487852266,1952.4324913187334
Run_128,20.0,50.0,350.0,0.0032,92.34525409867912,3335.25806600227
Run_129,20.0,50.0,400.0,1e-10,93.75123261857703,3853.1425052047302
Run_130,20.0,50.0,400.0,1e-09,93.75132546046564,3865.215437994696
Run_131,20.0,50.0,400.0,1e-08,93.75142657539382,3875.5279276878287
Run_132,20.0,50.0,400.0,1e-07,93.75124273006983,3891.924455275096
Run_133,20.0,50.0,400.0,1e-06,93.75138061406282,3899.4549224990087
Run_134,20.0,50.0,400.0,1e-05,93.75057169463736,3917.486515571494
Run_135,20.0,50.0,400.0,0.0001,93.74390730164352,3933.1411497879676
Run_136,20.0,50.0,400.0,0.0032,93.49792225817356,3663.343954425862
Run_137,20.0,50.0,450.0,1e-10,94.67356734789428,4321.914612126902
Run_138,20.0,50.0,450.0,1e-09,94.67398488105226,4323.041135457556
Run_139,20.0,50.0,450.0,1e-08,94.67361719040431,4347.057127214885
Run_140,20.0,50.0,450.0,1e-07,94.67351913956487,4363.393509643193
Run_141,20.0,50.0,450.0,1e-06,94.6734456014353,4375.9948235967795
Run_142,20.0,50.0,450.0,1e-05,94.67320864523997,4374.81025990789
Run_143,20.0,50.0,450.0,0.0001,94.66572409782862,4393.739776972565
Run_144,20.0,50.0,450.0,0.0032,94.40316029158838,3963.698892912859
Run_145,20.0,50.0,550.0,1e-10,96.0292978832952,5125.891491836678
Run_146,20.0,50.0,550.0,1e-09,96.02914479027996,5149.099576942507
Run_147,20.0,50.0,550.0,1e-08,96.03000719198148,5105.668627772193
Run_148,20.0,50.0,550.0,1e-07,96.02930523710812,5165.955258176831
Run_149,20.0,50.0,550.0,1e-06,96.02905788158134,5189.779127962012
Run_150,20.0,50.0,550.0,1e-05,96.02820885044883,5205.631773279499
Run_151,20.0,50.0,550.0,0.0001,96.02018650903928,5209.930830018593
Run_152,20.0,50.0,550.0,0.0032,95.70361823173444,7601.537564155519
Run_153,20.0,50.0,660.0,1e-10,97.06006301550404,5558.348938285043
Run_154,20.0,50.0,660.0,1e-09,97.05963460018847,5657.641300567724
Run_155,20.0,50.0,660.0,1e-08,97.0601917072308,5551.923893254496
Run_156,20.0,50.0,660.0,1e-07,97.06000229083642,5602.428284330628
Run_157,20.0,50.0,660.0,1e-06,97.0600969990336,5575.269321599787
Run_158,20.0,50.0,660.0,1e-05,97.0591833434842,5598.163864495137
Run_159,20.0,50.0,660.0,0.0001,97.05085459320138,5547.822087344834
Run_160,20.0,50.0,660.0,0.0032,96.73144284155246,9260.103314554597
Run_161,20.0,100.0,32.0,1e-10,83.06466565195963,25.19326918041883
