Label,Temperature [°C],NaOH Concentration [mM],Mg++ Concentration [mM],Seed Volume Fraction [m^3 mineral/m^3 medium],Carbonation_Percentage,Reaction_Rate
Run_79,20.0,32.0,660.0,0.0001,95.80964795824453,0.8861542284527111
Run_80,20.0,32.0,660.0,0.0032,95.49409138732854,1.5900665362792878
Run_81,20.0,50.0,32.0,1e-10,19.541603159417082,0.0010251333292020332
Run_82,20.0,50.0,32.0,1e-09,19.544040258992947,0.0010252611770547105
Run_83,20.0,50.0,32.0,1e-08,19.54623261448127,0.001025376185872677
Run_84,20.0,50.0,32.0,1e-07,19.548239975612343,0.001025481490068163
Run_85,20.0,50.0,32.0,1e-06,19.550394413002607,0.0010255945097399075
Run_86,20.0,50.0,32.0,1e-05,19.554951478970477,0.0010258335689495807
Run_87,20.0,50.0,32.0,0.0001,19.562860275000947,0.0010262484566299086
Run_88,20.0,50.0,32.0,0.0032,19.318719429937065,0.04473042328765262
Run_89,20.0,50.0,80.0,1e-10,64.45806419021503,0.03913427676322055
Run_90,20.0,50.0,80.0,1e-09,64.44209262769527,0.04022351644314235
Run_91,20.0,50.0,80.0,1e-08,64.45351401844682,0.03998109117599534
Run_92,20.0,50.0,80.0,1e-07,64.45372084443626,0.04029365085700202
Run_93,20.0,50.0,80.0,1e-06,64.4424695106094,0.041220758356487704
Run_94,20.0,50.0,80.0,1e-05,64.46548694517027,0.040586451356558625
Run_95,20.0,50.0,80.0,0.0001,64.56406021174911,0.037194494502996646
Run_96,20.0,50.0,80.0,0.0032,64.39229812169842,0.10942348458409454
Run_97,20.0,50.0,160.0,1e-10,82.1658504592104,0.14313065881761342
Run_98,20.0,50.0,160.0,1e-09,82.17008119972824,0.14250826092062172
Run_99,20.0,50.0,160.0,1e-08,82.17167835598022,0.14266691077917348
Run_100,20.0,50.0,160.0,1e-07,82.17174040377705,0.14330005472069693
Run_101,20.0,50.0,160.0,1e-06,82.17185990323763,0.143931852108756
Run_102,20.0,50.0,160.0,1e-05,82.1667765800299,0.14632530562099885
Run_103,20.0,50.0,160.0,0.0001,82.18720409358937,0.141372720891385
Run_104,20.0,50.0,160.0,0.0032,81.9256473511793,0.2670773760581941
Run_105,20.0,50.0,250.0,1e-10,88.98964075008989,0.30654499773727234
Run_106,20.0,50.0,250.0,1e-09,88.98904803276541,0.3081782288302109
Run_107,20.0,50.0,250.0,1e-08,88.98753608882109,0.3108070530525337
Run_108,20.0,50.0,250.0,1e-07,88.98965104542803,0.3100248441843403
Run_109,20.0,50.0,250.0,1e-06,88.98742284010152,0.3132473309644286
Run_110,20.0,50.0,250.0,1e-05,88.98852149975758,0.3130101165919778
Run_111,20.0,50.0,250.0,0.0001,88.98760815618807,0.31187874007052907
Run_112,20.0,50.0,250.0,0.0032,88.74173047838737,0.420794717978334
Run_113,20.0,50.0,300.0,1e-10,91.11885591009722,0.34871670081108425
Run_114,20.0,50.0,300.0,1e-09,91.11914516007359,0.3492667304221478
Run_115,20.0,50.0,300.0,1e-08,91.12012566846809,0.34828836189544476
Run_116,20.0,50.0,300.0,1e-07,91.12009012503877,0.34935025137187453
Run_117,20.0,50.0,300.0,1e-06,91.11909613465386,0.35238898969864957
Run_118,20.0,50.0,300.0,1e-05,91.1195876144866,0.35114515228743587
Run_119,20.0,50.0,300.0,0.0001,91.11395581939571,0.35081836152795104
Run_120,20.0,50.0,300.0,0.0032,90.83086588700692,0.49860954731170853
Run_121,20.0,50.0,350.0,1e-10,92.65653784958859,0.3506711756935074
Run_122,20.0,50.0,350.0,1e-09,92.65740770060714,0.3464150392508933
Run_123,20.0,50.0,350.0,1e-08,92.65734571846932,0.34751359077590965
Run_124,20.0,50.0,350.0,1e-07,92.65660508444992,0.3527115147259591
Run_125,20.0,50.0,350.0,1e-06,92.65732260648576,0.3487786260978293
Run_126,20.0,50.0,350.0,1e-05,92.65666076331946,0.3488031442026552
Run_127,20.0,50.0,350.0,0.0001,92.65061487852266,0.33769760815669253
Run_128,20.0,50.0,350.0,0.0032,92.34525409867913,0.5768745790096634
Run_129,20.0,50.0,400.0,1e-10,93.75123261857703,0.6664491672209648
Run_130,20.0,50.0,400.0,1e-09,93.75132546046565,0.668537331879531
Run_131,20.0,50.0,400.0,1e-08,93.75142657539382,0.6703210058959161
Run_132,20.0,50.0,400.0,1e-07,93.75124273006985,0.6731569903270888
Run_133,20.0,50.0,400.0,1e-06,93.75138061406282,0.6744594787773296
Run_134,20.0,50.0,400.0,1e-05,93.75057169463737,0.6775782682253172
Run_135,20.0,50.0,400.0,0.0001,93.74390730164352,0.6802859329230607
Run_136,20.0,50.0,400.0,0.0032,93.49792225817357,0.6336211350535945
Run_137,20.0,50.0,450.0,1e-10,94.67356734789428,0.747529163575291
Run_138,20.0,50.0,450.0,1e-09,94.67398488105226,0.7477240098688178
Run_139,20.0,50.0,450.0,1e-08,94.67361719040433,0.7518778758846835
Run_140,20.0,50.0,450.0,1e-07,94.67351913956487,0.7547034574586955
Run_141,20.0,50.0,450.0,1e-06,94.6734456014353,0.7568830122451881
Run_142,20.0,50.0,450.0,1e-05,94.67320864523995,0.7566781271460998
Run_143,20.0,50.0,450.0,0.0001,94.66572409782862,0.7599522237741396
Run_144,20.0,50.0,450.0,0.0032,94.40316029158838,0.6855712766211531
Run_145,20.0,50.0,550.0,1e-10,96.0292978832952,0.8865870160226715
Run_146,20.0,50.0,550.0,1e-09,96.02914479027996,0.8906011444829298
Run_147,20.0,50.0,550.0,1e-08,96.03000719198147,0.8830892188619401
Run_148,20.0,50.0,550.0,1e-07,96.02930523710812,0.8935165452775755
Run_149,20.0,50.0,550.0,1e-06,96.02905788158134,0.8976371813965014
Run_150,20.0,50.0,550.0,1e-05,96.02820885044883,0.9003790945896463
Run_151,20.0,50.0,550.0,0.0001,96.02018650903929,0.9011226701983177
Run_152,20.0,50.0,550.0,0.0032,95.70361823173445,1.3147809540880584
Run_153,20.0,50.0,660.0,1e-10,97.06006301550403,0.961385937851986
Run_154,20.0,50.0,660.0,1e-09,97.05963460018849,0.9785597932350428
Run_155,20.0,50.0,660.0,1e-08,97.06019170723081,0.9602746459897772
Run_156,20.0,50.0,660.0,1e-07,97.06000229083642,0.9690100118186363
Run_157,20.0,50.0,660.0,1e-06,97.0600969990336,0.9643125296803284
Run_158,20.0,50.0,660.0,1e-05,97.05918334348421,0.9682724270954645
Run_159,20.0,50.0,660.0,0.0001,97.05085459320138,0.9595651873780329
Run_160,20.0,50.0,660.0,0.0032,96.73144284155246,1.601650635560156
Run_161,20.0,100.0,32.0,1e-10,83.06466565195963,0.00435749086419311
Run_162,20.0,100.0,32.0,1e-09,83.0646794403589,0.004357491587519007
Run_163,20.0,100.0,32.0,1e-08,83.0646920797249,0.004357492250567748
Run_164,20.0,100.0,32.0,1e-07,83.06469667585803,0.004357492491676382
Run_165,20.0,100.0,32.0,1e-06,83.064638075161,0.00435748941754131
Run_166,20.0,100.0,32.0,1e-05,83.06393256873028,0.004357452407366136
Run_167,20.0,100.0,32.0,0.0001,82.14447269513269,0.030719771355630733
Run_168,20.0,100.0,32.0,0.0032,82.43559980886982,0.09688297457949872
Run_169,20.0,100.0,80.0,1e-10,90.61763595209061,0.08111882827267737
Run_170,20.0,100.0,80.0,1e-09,90.61744751063353,0.08185137426917029
Run_171,20.0,100.0,80.0,1e-08,90.62532987889871,0.08195102325918789
Run_172,20.0,100.0,80.0,1e-07,90.62517820650643,0.0826987172223405
Run_173,20.0,100.0,80.0,1e-06,90.61961228932327,0.08393833498504413
Run_174,20.0,100.0,80.0,1e-05,90.63000874239371,0.0841428125658132
Run_175,20.0,100.0,80.0,0.0001,90.69653776900483,0.08192281356167778
Run_176,20.0,100.0,80.0,0.0032,90.61893665775767,0.15378202387475826
Run_177,20.0,100.0,160.0,1e-10,95.35476232832288,0.14411145502815836
Run_178,20.0,100.0,160.0,1e-09,95.35322951793425,0.14548333662926038
Run_179,20.0,100.0,160.0,1e-08,95.3531835566033,0.14604031189670139
Run_180,20.0,100.0,160.0,1e-07,95.35084182678924,0.1478769094464798
Run_181,20.0,100.0,160.0,1e-06,95.35719827886544,0.14479900359258008
Run_182,20.0,100.0,160.0,1e-05,95.35959516227669,0.14371152036771412
Run_183,20.0,100.0,160.0,0.0001,95.35943199955165,0.14197284997032383
Run_184,20.0,100.0,160.0,0.0032,94.99797370809708,0.30965842153023326
Run_185,20.0,100.0,250.0,1e-10,97.34005861938967,0.3293937293273597
Run_186,20.0,100.0,250.0,1e-09,97.33999684736081,0.3306493740420497
Run_187,20.0,100.0,250.0,1e-08,97.33959679993588,0.33232913158639116
Run_188,20.0,100.0,250.0,1e-07,97.34002332108747,0.33300956523965103
Run_189,20.0,100.0,250.0,1e-06,97.34000567193637,0.33416827437054347
Run_190,20.0,100.0,250.0,1e-05,97.33705826370253,0.3383970291519053
Run_191,20.0,100.0,250.0,0.0001,97.33625081503965,0.33367152710340586
Run_192,20.0,100.0,250.0,0.0032,97.04589874722703,0.4653212140542663
Run_193,20.0,100.0,300.0,1e-10,98.04744198831342,0.3617114938737055
Run_194,20.0,100.0,300.0,1e-09,98.04907453479026,0.3581404980913944
Run_195,20.0,100.0,300.0,1e-08,98.04660242800063,0.3659352120998382
Run_196,20.0,100.0,300.0,1e-07,98.04743340886498,0.36474941095935887
Run_197,20.0,100.0,300.0,1e-06,98.04736845018382,0.3657569679198697
Run_198,20.0,100.0,300.0,1e-05,98.04835386112029,0.36181941764818143
Run_199,20.0,100.0,300.0,0.0001,98.04195972075269,0.3594858047610698
Run_200,20.0,100.0,300.0,0.0032,97.72702655261708,0.5414719931542447
Run_201,20.0,100.0,350.0,1e-10,98.57306172262608,0.3344637689170339
Run_202,20.0,100.0,350.0,1e-09,98.57296297142348,0.336158370817304
