Reaction_Rate,Carbonation_Percentage,Intersection_X,Intersection_Y
-1.307906722351795e-06,-4.312296027088927e-06,28725.72676,90
-1.3079066875019531e-05,-4.3122959121855984e-05,28725.72676,90
-0.00013079065132527444,-0.0004312295337668,28725.72676,90
-0.0013079048404603365,-0.0043122898223092,28725.72676,90
-0.013078874503892673,-0.0431223248554882,28725.72676,90
-0.1307647648627693,-0.4311441835752438,28725.72676,90
-1.0108976908319782,-3.3330282821178376,28725.72676,90
-1.014844818767068,-3.346042347891621,28725.72676,90
183.86225157419935,53.969941245128986,28725.72676,90
185.501623980573,53.96988149539869,28725.72676,90
187.17052929931154,53.96983093793458,28725.72676,90
189.2934541089427,53.96807981122379,28725.72676,90
190.60214987525012,53.97031353191002,28725.72676,90
190.07208358708084,53.98459831358237,28725.72676,90
167.55155262124762,54.10880881058864,28725.72676,90
505.2627139207422,54.00226584921574,28725.72676,90
766.4405117299582,76.9269090789399,28725.72676,90
768.855737971148,76.92762607570339,28725.72676,90
772.2530351080767,76.92777085389599,28725.72676,90
777.3178419578211,76.92694814607125,28725.72676,90
779.8034818483677,76.9277157002988,28725.72676,90
784.2082375958302,76.92786277655799,28725.72676,90
765.2008039692287,76.9446754314349,28725.72676,90
1439.6013821030965,76.71303262130105,28725.72676,90
1706.7059868962265,85.654107092839,28725.72676,90
1711.0831105258576,85.65465715804832,28725.72676,90
1720.5127762627314,85.65413062504047,28725.72676,90
1723.7187682718838,85.65477040676787,28725.72676,90
1733.7993426632559,85.6540497330979,28725.72676,90
1726.8473633214003,85.65623675707185,28725.72676,90
1728.9303890921112,85.65393942590353,28725.72676,90
2342.935057881781,85.41889538535365,28725.72676,90
1912.4566312135441,88.34989530149005,28725.72676,90
1931.515521249449,88.3488351267885,28725.72676,90
1939.693538672104,88.34860348168031,28725.72676,90
1945.2505293777458,88.3485850971479,28725.72676,90
1935.2016853578264,88.34986098369623,28725.72676,90
1938.7420547378736,88.34941730364774,28725.72676,90
1935.6496022721776,88.34397303078728,28725.72676,90
2761.0092278646534,88.07028127135979,28725.72676,90
1841.767392950617,90.288337985794,28725.72676,90
1851.9558699282984,90.2881982633478,28725.72676,90
1862.1760686262048,90.28805643981217,28725.72676,90
1857.8094515426037,90.2882350324126,28725.72676,90
1872.6538041567578,90.2879209195448,28725.72676,90
1854.5894477508673,90.28764147465232,28725.72676,90
1778.7331576097667,90.28145376631991,28725.72676,90
3193.3797390821833,89.98466963347568,28725.72676,90
3761.956710666835,91.68435156386047,28725.72676,90
3780.820042428927,91.68386805065845,28725.72676,90
3786.4231198104267,91.68433869468782,28725.72676,90
3809.409051562425,91.68383220082028,28725.72676,90
3813.405401291494,91.68421184141428,28725.72676,90
3839.7036274992556,91.68291481265366,28725.72676,90
3828.5602423289884,91.67774324369044,28725.72676,90
3518.4277122863905,91.43615210346336,28725.72676,90
4224.111558806579,92.83995128295484,28725.72676,90
4237.331466076873,92.83995210004517,28725.72676,90
